outcome,outcome_label,outcome_group,n,beta_idgx2,se_idgx2,beta_inter,se_inter,p_inter,ci_lo_inter,ci_hi_inter
H4BMI,S27 BMI -- W4,cardiometabolic,3234,-0.1634687018899478,0.07182327319869547,-0.009642204041485703,0.01782905319017159,0.5897096730484773,-0.04496818751842217,0.025683779435450763
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,3250,-0.42477086384043966,0.17321731997252726,-0.02360644020588036,0.041148374756538514,0.5673273573982492,-0.10513667017645342,0.0579237897646927
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,3234,-0.025344197632622648,0.012434859435425213,-0.0018378030895393417,0.0031136055169674144,0.5562126635684541,-0.008007013303501944,0.0043314071244232605
H5LM5,S3Q5 CURRENTLY WORK -- W5,ses,2537,-0.013239045678520564,0.005691118761148051,0.001688228803249584,0.0010826509864361226,0.12173551784162819,-0.0004569053466229782,0.003833362953122146
H5EC1,S4Q1 INCOME PERS EARNINGS [W4-W5] -- W5,ses,2515,0.12000935385683152,0.0446889081250252,-0.018054392649738772,0.010019673003874088,0.07425204065704717,-0.0379070903338919,0.0017983050344143534
