stratification,friend_indicator,sex,outcome,outcome_label,outcome_group,n_present,n_absent,exposure,label,beta,se,p,sig
BIO_SEX × HAVEBFF,HAVEBFF,male,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,551,536,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> H5ID1,0.4988994202955337,0.5841844297701407,0.393099377086386,False
BIO_SEX × HAVEBFF,HAVEBFF,male,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,551,534,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> H5ID16,0.2033159602582495,0.7611634522737566,0.7893828595311152,False
BIO_SEX × HAVEBFF,HAVEBFF,male,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,551,536,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> H5ID4,-0.1347665581389006,0.32951402934637597,0.6825500837469498,False
BIO_SEX × HAVEBFF,HAVEBFF,male,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,551,534,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> H5LM5,-0.09536191172159192,0.07738416817001183,0.21783027809020306,False
BIO_SEX × HAVEBFF,HAVEBFF,male,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,539,523,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> H5MN1,-0.7578422636625508,0.6234703592694946,0.22416686409866715,False
BIO_SEX × HAVEBFF,HAVEBFF,male,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,538,520,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> H5MN2,0.806432460990695,0.5739958666923581,0.1600377177334733,False
BIO_SEX × HAVEBFF,HAVEBFF,male,W4_COG_COMP,W4 cognition composite,cognitive,791,796,HAVEBFF-present-vs-absent (male),HAVEBFF+ vs HAVEBFF- (male) -> W4_COG_COMP,0.17906925706725563,0.3600647184691358,0.6189597459454173,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H4BMI,S27 BMI—W4,cardiometabolic,892,999,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H4BMI,-4.008199824297623,3.5461621479031566,0.2583530716359479,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,892,999,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H4BMICLS,-0.6667095948726374,0.6216993508219824,0.28354097770523357,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,891,987,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H4DBP,-6.039025195966843,4.603432407999042,0.18956984227234308,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,891,987,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H4SBP,-8.687860108094185,5.681733828681544,0.12624310569071517,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,895,1005,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H4WAIST,-7.764886915456003,7.9976934125752175,0.3316026624730255,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,732,764,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5EC1,0.15988518744859626,0.6823756628916374,0.8147468874362056,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,737,777,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5ID1,0.21979950651022628,0.4560714099609777,0.6298478669628578,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,738,777,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5ID16,0.14457690364886044,0.7121703769513031,0.8391280991191787,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,737,777,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5ID4,0.3792872580002258,0.25731556089483876,0.14047727889254746,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,736,775,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5LM5,0.0004828312367137766,0.08559966169656562,0.9954994968578335,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,726,758,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5MN1,0.003136277038126689,0.5142106878913845,0.995133567677214,False
BIO_SEX × HAVEBMF,HAVEBMF,female,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,725,756,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> H5MN2,-0.3901080995013002,0.43914481084621315,0.37436009572773266,False
BIO_SEX × HAVEBMF,HAVEBMF,female,W4_COG_COMP,W4 cognition composite,cognitive,903,1009,HAVEBMF-present-vs-absent (female),HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,-0.6648551032717286,0.3003469094622059,0.026854660402210406,True
BIO_SEX × HAVEBMF,HAVEBMF,male,H4BMI,S27 BMI—W4,cardiometabolic,1004,568,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H4BMI,0.5578458749793356,3.319895629889359,0.8665587746416359,False
BIO_SEX × HAVEBMF,HAVEBMF,male,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,1004,568,HAVEBMF-present-vs-absent (male),HAVEBMF+ vs HAVEBMF- (male) -> H4BMICLS,0.22612370212506638,0.5765557213520566,0.6949123045040424,False
