label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,0.9,1.0,8.730354875041513,1.3296151470590238,7.400739727982489
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,0.9,1.1,2.3892386517274047,1.3296151470590238,1.0596235046683808
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,0.9,1.2,-3.951877571586689,1.3296151470590238,-5.281492718645713
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.0,0.8,14.011847593687229,1.3296151470590238,12.682232446628205
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.0,0.9,7.670731370373125,1.3296151470590238,6.341116223314101
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.0,1.0,1.3296151470590238,1.3296151470590238,0.0
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.0,1.1,-5.011501076255084,1.3296151470590238,-6.341116223314108
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.0,1.2,-11.352617299569179,1.3296151470590238,-12.682232446628202
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.1,0.8,7.9566969071560925,1.3296151470590238,6.627081760097068
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.1,0.9,1.6155806838419922,1.3296151470590238,0.2859655367829683
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.1,1.0,-4.7255355394721095,1.3296151470590238,-6.0551506865311335
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.1,1.1,-11.066651762786218,1.3296151470590238,-12.396266909845242
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.1,1.2,-17.40776798610031,1.3296151470590238,-18.737383133159334
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.2,0.8,2.910738001713493,1.3296151470590238,1.5811228546544693
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.2,0.9,-3.4303782216006087,1.3296151470590238,-4.759993368659632
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.2,1.0,-9.77149444491471,1.3296151470590238,-11.101109591973733
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.2,1.1,-16.112610668228818,1.3296151470590238,-17.44222581528784
HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,HAVEBFF,H4SBP,raw-binary,1.2,1.2,-22.453726891542914,1.3296151470590238,-23.783342038601937
