exposure,outcome,outcome_group,label,stratification,sex,beta,p,sd_x,sd_y,rr_basis,rr,evalue
HAVEBFF-present-vs-absent (male),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (male) -> H5MN1,BIO_SEX × HAVEBFF,male,-0.7578422636625508,0.22416686409866715,0.5,1.052259652418585,chinn-2000,0.720584131359218,2.121331785238044
HAVEBFF-present-vs-absent (male),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (male) -> H5MN2,BIO_SEX × HAVEBFF,male,0.806432460990695,0.1600377177334733,0.5,0.9449202590801405,chinn-2000,1.4744942694143217,2.3109385778541323
HAVEBFF-present-vs-absent (male),W4_COG_COMP,cognitive,HAVEBFF+ vs HAVEBFF- (male) -> W4_COG_COMP,BIO_SEX × HAVEBFF,male,0.17906925706725563,0.6189597459454173,0.5,0.7696018174269023,chinn-2000,1.1116755688111193,1.4640205722954973
HAVEBMF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4BMI,BIO_SEX × HAVEBMF,female,-4.008199824297623,0.2583530716359479,0.5,7.488129839207538,chinn-2000,0.783840607778312,1.868912421878489
HAVEBMF-present-vs-absent (female),H4BMICLS,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4BMICLS,BIO_SEX × HAVEBMF,female,-0.6667095948726374,0.28354097770523357,0.5,1.2892843767538902,chinn-2000,0.7903433676704065,1.8446194793542081
HAVEBMF-present-vs-absent (female),H4DBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4DBP,BIO_SEX × HAVEBMF,female,-6.039025195966843,0.18956984227234308,0.5,10.350684979451811,chinn-2000,0.7668484022792874,1.9337038927878818
HAVEBMF-present-vs-absent (female),H4SBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4SBP,BIO_SEX × HAVEBMF,female,-8.687860108094185,0.12624310569071517,0.5,13.723490712305665,chinn-2000,0.7497282106332028,2.0010874531056655
HAVEBMF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4WAIST,BIO_SEX × HAVEBMF,female,-7.764886915456003,0.3316026624730255,0.5,17.62916016470102,chinn-2000,0.8183968340193982,1.7426133269646245
HAVEBMF-present-vs-absent (female),H5EC1,ses,HAVEBMF+ vs HAVEBMF- (female) -> H5EC1,BIO_SEX × HAVEBMF,female,0.15988518744859626,0.8147468874362056,0.5,3.261990749766246,chinn-2000,1.0225521858946856,1.1744099712838911
HAVEBMF-present-vs-absent (female),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (female) -> H5ID1,BIO_SEX × HAVEBMF,female,0.21979950651022628,0.6298478669628578,0.5,0.9817523284987635,chinn-2000,1.1072368886328197,1.451818720592178
