sex,exposure,outcome,outcome_label,outcome_group,n,beta,se,p
male,FRIEND_DISCLOSURE_ANY,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1435,0.06189010668714285,0.06032445347327646,0.3068185638025292
male,FRIEND_DISCLOSURE_ANY,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,1431,0.04998495085203697,0.061167350036579075,0.415318658505947
male,FRIEND_DISCLOSURE_ANY,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1462,0.05934823839634107,0.05886012941031224,0.3151870204917804
male,FRIEND_DISCLOSURE_ANY,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1462,0.023121709934137955,0.02962812052587657,0.43657561419976443
male,FRIEND_DISCLOSURE_ANY,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1461,0.07822823656585315,0.0752360631561478,0.3003765265976103
male,FRIEND_DISCLOSURE_ANY,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,1519,-0.011576214942218617,0.021326239218059748,0.5881862153671769
male,FRIEND_DISCLOSURE_ANY,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,1511,0.6729272047532421,0.19032465811668475,0.0005642217832076028
female,FRIEND_N_NOMINEES,W4_COG_COMP,W4 cognition composite,cognitive,2552,-0.00020494193314660072,0.006353741586270893,0.9743179144688265
female,FRIEND_N_NOMINEES,H4BMI,S27 BMI—W4,cardiometabolic,2527,-0.1156649445468981,0.07610341377649787,0.13097985284430733
female,FRIEND_N_NOMINEES,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,2503,-0.001159697854213701,0.14157397967873012,0.9934767892913579
female,FRIEND_N_NOMINEES,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,2503,0.013792014566996025,0.11528391723039284,0.9049568197818119
female,FRIEND_N_NOMINEES,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,2539,-0.1723317073368849,0.18719828811644282,0.3589729265940919
female,FRIEND_N_NOMINEES,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,2527,-0.022100990538544703,0.01383078601347061,0.11248055194394187
female,FRIEND_N_NOMINEES,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1952,-0.004029540599653757,0.00962466800495994,0.676149654474637
female,FRIEND_N_NOMINEES,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,1950,0.0052202996330062415,0.00812891818203134,0.5218815070317964
female,FRIEND_N_NOMINEES,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1995,-0.02061199581848155,0.010359286620762841,0.048721148631664095
female,FRIEND_N_NOMINEES,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1995,-0.00836780595581289,0.005061345426730739,0.10068744006124393
female,FRIEND_N_NOMINEES,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1995,-0.018986745560447084,0.01476515749662596,0.20075827113257577
female,FRIEND_N_NOMINEES,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,2078,-0.00029838077250536436,0.005129516387045476,0.9537030313687853
female,FRIEND_N_NOMINEES,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,2049,0.0468627610389358,0.0341451950353357,0.17228496448280223
female,FRIEND_CONTACT_SUM,W4_COG_COMP,W4 cognition composite,cognitive,2549,-0.001207651597706238,0.002423789673661144,0.6191502091554498
female,FRIEND_CONTACT_SUM,H4BMI,S27 BMI—W4,cardiometabolic,2524,-0.047643323483023525,0.029818316968821593,0.11251821546316863
female,FRIEND_CONTACT_SUM,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,2500,0.045379934472850686,0.05216585925633867,0.38594952002123184
female,FRIEND_CONTACT_SUM,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,2500,0.06480694218437222,0.037168730037230924,0.0835950423069653
female,FRIEND_CONTACT_SUM,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,2536,-0.06800054662898355,0.06477039499052088,0.29572531612016
female,FRIEND_CONTACT_SUM,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,2524,-0.007748696705805897,0.004954542787907254,0.12025850843302498
female,FRIEND_CONTACT_SUM,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1951,-0.003548315358877162,0.0045053275857074495,0.4323748088500962
female,FRIEND_CONTACT_SUM,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,1949,0.004654875545299939,0.00409503542215811,0.25774972585398886
female,FRIEND_CONTACT_SUM,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1994,-0.008419848361973504,0.004421411370886629,0.059076182053325696
female,FRIEND_CONTACT_SUM,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1994,-0.005477894936839346,0.0018697907930657726,0.004008738161221354
female,FRIEND_CONTACT_SUM,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1994,-0.004256902653370834,0.00531441066116299,0.42458669794695214
female,FRIEND_CONTACT_SUM,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,2077,-0.00137443371571861,0.0016655770216446176,0.41076988868875225
female,FRIEND_CONTACT_SUM,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,2048,0.018647394456297425,0.012596596680390171,0.1411988601913289
female,FRIEND_DISCLOSURE_ANY,W4_COG_COMP,W4 cognition composite,cognitive,2552,0.017785439495294215,0.03851852086036039,0.645041417560359
female,FRIEND_DISCLOSURE_ANY,H4BMI,S27 BMI—W4,cardiometabolic,2527,-0.6888380567660413,0.45725060938178547,0.13437057183498619
