spec_id,spec_label,outcome,term,beta,se,t,p,ci_lo,ci_hi,n,n_psu,r2,ahpvt_adjusted
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,const,4.391876271332938,0.31194541766294714,14.07898953681154,1.56443826811773e-26,3.7737964129957575,5.009956129670119,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,idgx2,0.011458695437216192,0.010826597193882027,1.0583838330746576,0.2921578290985882,-0.009992819093760555,0.03291020996819294,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,male,-0.6930014430918856,0.06479432412459382,-10.695403531940613,8.034632676460685e-19,-0.8213830906763157,-0.5646197955074556,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,race_NH-Black,-0.30271859192787187,0.10052588309655977,-3.0113497400176694,0.003215066941352691,-0.5018977433609458,-0.10353944049479794,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,race_Hispanic,0.015774600521344113,0.12100510700496242,0.13036309716,0.8965130178469761,-0.22398150795437982,0.25553070899706803,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,race_Other,-0.002694479268156233,0.19613119450258934,-0.01373814744253067,0.9890633312828553,-0.3913033000736093,0.3859143415372968,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,parent_ed,0.06107992933782739,0.0166470670614877,3.669110547354812,0.0003742228411320872,0.028095899861839947,0.09406395881381482,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,cesd_sum,-0.0181801363827084,0.005180409268667767,-3.5094015626652872,0.0006479077882168137,-0.028444453297170685,-0.007915819468246111,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,srh,-0.0007577199276736116,0.048776802183690335,-0.01553443222497626,0.9876334536717708,-0.09740270099423466,0.09588726113888744,3274,113,0.0965107725954053,True
S01,IDGX2 -> C4WD90_1 (linear+AHPVT),C4WD90_1,ahpvt,0.039708348227209006,0.003768862138183184,10.535898308647287,1.882169419693114e-18,0.0322408310124584,0.04717586544195961,3274,113,0.0965107725954053,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,const,-1.206161584852057,0.12096363229514269,-9.971274522487125,3.8309043953710386e-17,-1.445835516506714,-0.9664876531974002,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,idgx2,0.009263823101364678,0.003763713643211335,2.4613517338318154,0.015366830758031594,0.0018065069694403243,0.01672113923328903,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,male,-0.254140244036388,0.02650762172082181,-9.587440424229388,2.9610006981340383e-16,-0.3066616985934273,-0.20161878947934875,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,race_NH-Black,-0.17827256687397922,0.03584294230195952,-4.9737146401687315,2.3891528106545753e-06,-0.24929076251331944,-0.10725437123463898,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,race_Hispanic,0.04408402235259014,0.052748457266277915,0.8357405057374645,0.4050802949506856,-0.06043028415302017,0.14859832885820046,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,race_Other,0.0492886613649222,0.09556613390682203,0.5157544765071187,0.6070425351200178,-0.14006338281474978,0.2386407055445942,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,parent_ed,0.025862187042822664,0.006740243457053678,3.836981142833622,0.00020649444841178884,0.012507258631612075,0.03921711545403325,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,cesd_sum,-0.007984875381396379,0.0016912481460837523,-4.721291431943991,6.8322924877244675e-06,-0.01133586679000853,-0.004633883972784227,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,srh,-0.02589082736975756,0.014105299095578503,-1.8355390548133352,0.06907894848116018,-0.053838669438137046,0.002057014698621927,3268,113,0.15679469513436917,True
S01C,IDGX2 -> W4_COG_COMP (linear+AHPVT),W4_COG_COMP,ahpvt,0.020900403360697022,0.0015089568838324476,13.85089500212504,5.0294814583445345e-26,0.01791059872120783,0.023890208000186215,3268,113,0.15679469513436917,True
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,const,7.122259802503131,0.15186670469044447,46.89809933665643,1.8442617786058002e-75,6.821355394211341,7.423164210794921,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,idgx2,0.01206316390322661,0.01107747631392181,1.088981240976884,0.27849980091124726,-0.009885435445137931,0.03401176325159115,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,male,-0.68544619986516,0.06576325195803108,-10.42293651023522,3.439715574516062e-18,-0.8157476537494117,-0.5551447459809082,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,race_NH-Black,-0.6630994843418139,0.10148541075528329,-6.533939010610874,1.9606018263907175e-09,-0.8641798168334769,-0.4620191518501509,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,race_Hispanic,-0.2740063496028733,0.11365586104240126,-2.410842231010423,0.017542787821687198,-0.49920086926778506,-0.04881182993796154,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,race_Other,-0.1421507400778289,0.19318154303580443,-0.7358401731550647,0.46336624503161034,-0.5249152046032858,0.24061372444762796,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,parent_ed,0.07945388564325077,0.01705838796117639,4.657760500234949,8.855226577841005e-06,0.045654876529750595,0.11325289475675096,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,cesd_sum,-0.023986325363526108,0.005350486548125685,-4.483017599946812,1.7873947806749233e-05,-0.03458762860585715,-0.01338502212119506,3419,113,0.06139931156149425,False
S01_noAHPVT,IDGX2 -> C4WD90_1 (linear),C4WD90_1,srh,-0.01161114829057753,0.047932231894772324,-0.24224092706694694,0.8090365011746032,-0.10658272159099451,0.08336042500983944,3419,113,0.06139931156149425,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,const,0.22607882520106196,0.057892751414271144,3.905131811464246,0.00016139495943489875,0.11137175926318475,0.34078589113893915,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,idgx2,0.010398612277387356,0.003953127025737554,2.6304776471095654,0.009726416228345039,0.0025659978079651674,0.018231226746809544,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,male,-0.24396917420742378,0.027035113114953505,-9.024159550214014,5.879207652488064e-15,-0.2975357853453854,-0.19040256306946216,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,race_NH-Black,-0.3625960237032101,0.0412401579800824,-8.79230443002502,1.9983153009008376e-14,-0.4443081103659915,-0.2808839370404287,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,race_Hispanic,-0.11234991686433848,0.05155607781663049,-2.1791788984401306,0.0314128229590348,-0.21450167633577966,-0.010198157392897297,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,race_Other,-0.01545195639572031,0.09582802525308945,-0.16124673710963427,0.8721895780223796,-0.20532290470744657,0.17441899191600596,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,parent_ed,0.0356531385416486,0.007279824849306047,4.897526970727497,3.2917514350468097e-06,0.021229098767997452,0.05007717831529975,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,cesd_sum,-0.011278256983641887,0.0017988868918232571,-6.269575388484175,6.963172150434993e-09,-0.01484252076925093,-0.007713993198032844,3413,113,0.08841371137830545,False
S01C_noAHPVT,IDGX2 -> W4_COG_COMP (linear),W4_COG_COMP,srh,-0.03083363601880633,0.013983298511745486,-2.2050330966550664,0.02949537484642549,-0.05853974956898062,-0.0031275224686320366,3413,113,0.08841371137830545,False
S02,IDGX2 quintiles -> C4WD90_1+AHPVT,C4WD90_1,const,3.8225683263694687,0.3160117812653934,12.096284230489479,4.4099130275720085e-23,3.197421641819427,4.447715010919511,4721,132,0.10970800442327444,True
S02,IDGX2 quintiles -> C4WD90_1+AHPVT,C4WD90_1,idg_q2,0.11655247497596685,0.08395734046694438,1.3882344810797789,0.1674219281208206,-0.04953517158702883,0.28264012153896256,4721,132,0.10970800442327444,True
S02,IDGX2 quintiles -> C4WD90_1+AHPVT,C4WD90_1,idg_q3,0.18557262178987935,0.082990952680691,2.236058459334392,0.02703984006559377,0.021396720789491647,0.349748522790267,4721,132,0.10970800442327444,True
S02,IDGX2 quintiles -> C4WD90_1+AHPVT,C4WD90_1,idg_q4,0.20061215848399644,0.1126480512323381,1.7808755348126812,0.07725041492896761,-0.02223255783301306,0.4234568748010059,4721,132,0.10970800442327444,True
S02,IDGX2 quintiles -> C4WD90_1+AHPVT,C4WD90_1,idg_q5,0.12625702879106607,0.10341755634883631,1.2208471486716457,0.2243367391446273,-0.07832756681123135,0.3308416243933635,4721,132,0.10970800442327444,True
S02,IDGX2 quintiles -> C4WD90_1+AHPVT,C4WD90_1,male,-0.6355522570831613,0.06561595411116923,-9.685940952811304,4.615351323995872e-17,-0.7653562662942484,-0.5057482478720743,4721,132,0.10970800442327444,True
