outcome,outcome_label,outcome_group,spec,n,beta_idgx2,se_idgx2,beta_cesd,beta_inter,se_inter,p_inter,ci_lo_inter,ci_hi_inter
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,conservative,2489,-0.020057828847723336,0.011094276917548575,0.009226714570862002,0.0008112462872473092,0.0009522446096338656,0.3960706117747628,-0.001075504343149122,0.0026979969176437403
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,clean,2489,-0.020057828847723107,0.011092039040184886,0.01845342914172106,0.0008112462872476903,0.0009520525280162528,0.39597562320336904,-0.001075123758045447,0.0026976163325408277
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,conservative,2482,0.009412774695553992,0.010649148097993246,-0.01017142613109822,0.00013167544667282063,0.0008515083870446794,0.8773851334673685,-0.001555479271548291,0.0018188301648939323
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,clean,2482,0.009412774695554741,0.01064699392621066,-0.020342852262183082,0.00013167544667318676,0.0008513361389621825,0.8773605241032367,-0.0015551379840520992,0.001818488877398473
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,conservative,2542,-0.016643045802524466,0.009289417222600502,0.009187723266318873,-0.0005586716516401669,0.0009010866621310104,0.5365187022059625,-0.0023440593667475194,0.0012267160634671854
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,clean,2542,-0.01664304580252432,0.009287582638357862,0.018375446532652384,-0.0005586716516397829,0.0009009087048542425,0.5364383667497209,-0.002343706767214695,0.0012263634639351293
