outcome,cesd_tertile,n,beta_idgx2,se_idgx2,p_idgx2,ci_lo,ci_hi
H5MN1,1,895,-0.010591915080288145,0.010945304904363393,0.3352914640277573,-0.03228076742482352,0.01109693726424723
H5MN1,2,847,-0.024916377854142288,0.010246075741887253,0.016608831223979617,-0.04521766354220552,-0.0046150921660790545
H5MN1,3,747,-0.002801603500982148,0.011942070858164969,0.8149638123470412,-0.0264728596918187,0.020869652689854405
H5MN2,1,890,0.010630498688718387,0.010864037633690204,0.32995319508988535,-0.01089731713381279,0.032158314511249564
H5MN2,2,847,0.01890927001791922,0.00917469724140421,0.04161649877897878,0.000730783493777528,0.03708775654206091
H5MN2,3,745,0.002651858990610826,0.008249113458291407,0.7484740541151663,-0.013699314967211301,0.019003032948432953
H5ID1,1,908,-0.015055874134001834,0.008233862222039973,0.07015498080492177,-0.03137182179553112,0.0012600735275274527
H5ID1,2,869,-0.024106564932620228,0.007062437411352038,0.000894083690969148,-0.03809987936380113,-0.010113250501439325
H5ID1,3,765,-0.029534767694638444,0.01065235764071186,0.006542150464403469,-0.05064739422757537,-0.008422141161701521
