label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.9,1.0,6.724532157285251,1.2634708602035434,5.461061297081708
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.9,1.1,1.8185969014074446,1.2634708602035434,0.5551260412039012
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.9,1.2,-3.087338354470352,1.2634708602035434,-4.3508092146738955
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.0,0.8,11.075341371959146,1.2634708602035434,9.811870511755602
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.0,0.9,6.169406116081345,1.2634708602035434,4.905935255877802
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.0,1.0,1.2634708602035434,1.2634708602035434,0.0
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.0,1.1,-3.6424643956742635,1.2634708602035434,-4.905935255877807
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.0,1.2,-8.548399651552062,1.2634708602035434,-9.811870511755606
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.1,0.8,6.607200310710472,1.2634708602035434,5.343729450506929
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.1,0.9,1.7012650548326702,1.2634708602035434,0.43779419462912683
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.1,1.0,-3.204670201045132,1.2634708602035434,-4.468141061248675
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.1,1.1,-8.11060545692294,1.2634708602035434,-9.374076317126484
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.1,1.2,-13.016540712800735,1.2634708602035434,-14.280011573004279
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.2,0.8,2.8837494263365846,1.2634708602035434,1.6202785661330412
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.2,0.9,-2.0221858295412174,1.2634708602035434,-3.2856566897447608
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.2,1.0,-6.928121085419019,1.2634708602035434,-8.191591945622562
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.2,1.1,-11.834056341296828,1.2634708602035434,-13.097527201500371
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,1.2,1.2,-16.739991597174626,1.2634708602035434,-18.00346245737817
