outcome,ate,se,n_treated,n_control
H4BMI,-2.31664304139773,0.6950918827844336,208,210
H4WAIST,-5.140984537986102,1.8443664132153046,209,209
H4BMICLS,-0.37730236154538327,0.12499470582410623,208,210
H5LM5,-0.1533037934676721,0.05341802536604226,146,144
H5EC1,0.7338549023358089,0.39606304778522367,145,141
