label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.0,1.0,-0.09329724640493958,-0.09329724640493958,0.0
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.0,1.1,-0.4406811073579576,-0.09329724640493958,-0.34738386095301804
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.0,1.2,-0.788064968310975,-0.09329724640493958,-0.6947677219060353
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.1,0.8,0.27056656097991894,-0.09329724640493958,0.3638638073848585
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.1,0.9,-0.07681729997309876,-0.09329724640493958,0.016479946431840822
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.1,1.0,-0.4242011609261165,-0.09329724640493958,-0.3309039145211769
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.1,1.1,-0.7715850218791347,-0.09329724640493958,-0.6782877754741952
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.1,1.2,-1.1189688828321518,-0.09329724640493958,-1.0256716364272123
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.2,0.8,-0.005186701121061181,-0.09329724640493958,0.0881105452838784
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.2,0.9,-0.35257056207407883,-0.09329724640493958,-0.25927331566913925
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.2,1.0,-0.6999544230270965,-0.09329724640493958,-0.6066571766221569
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.2,1.1,-1.0473382839801149,-0.09329724640493958,-0.9540410375751753
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,1.2,1.2,-1.3947221449331322,-0.09329724640493958,-1.3014248985281927
