exposure,outcome,outcome_group,beta,p,rr_proxy_unit_exposure,evalue_unit_exposure
ESDEN,H5LM5,ses,-0.09553082294182902,0.04223315173479231,1.1002427342290908,1.432344134399001
ESDEN,H5EC1,ses,1.5152396151470233,0.0008587534526885826,4.550511367671717,8.570043969808165
ESRDEN,H5EC1,ses,1.2833990980830217,0.040364669918312814,3.608885857877363,6.677300966253325
