exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
IDGX2 x CESD_SUM,H5MN1,mental_health,IDGX2 x CESD_SUM -> H5MN1,0.0008112462872473092,0.3960706117747628,27.41974022264411,1.052259652418585,chinn-2000,1.0194230962832778,1.1601368232345146
IDGX2 x CESD_SUM,H5MN2,mental_health,IDGX2 x CESD_SUM -> H5MN2,0.00013167544667282063,0.8773851334673685,27.41974022264411,0.9449202590801405,chinn-2000,1.0034831295258084,1.062603867994657
IDGX2 x CESD_SUM,H5ID1,functional,IDGX2 x CESD_SUM -> H5ID1,-0.0005586716516401669,0.5365187022059625,27.41974022264411,0.9817523284987635,chinn-2000,0.9859012767446084,1.1347363788573863
