exposure,outcome,outcome_label,wave,kind,weight_col_used,n,beta,se,p,d1_pass,beta_predicted_sign,beta_sign_matches_prediction,beta_L0,beta_L0_L1,beta_L0_L1_AHPVT,d4a_rel_shift,d4a_sign_stable
IDGX2,H4TO5,S28Q5 SMOKING DAYS PAST 30 DAYS—W4,W4,count-0-30,GSWGT4_2,3252,-0.04646210442604153,0.08580561894513986,0.5892516655733349,False,+,False,-0.08085772643376105,-0.03600108562961897,-0.04646210442604153,1.2459802258640063,True
IDGX2,H4TO39,S28Q39 DRINKING DAYS PAST 30 DAYS—W4,W4,count-0-30,GSWGT4_2,3273,0.03393741854196212,0.01008028982628871,0.0010430986798041827,True,+,True,0.04037365265768768,0.03837573804704109,0.03393741854196212,0.05206192016939285,True
IDGX2,H4TO70,S28Q70 MARIJUANA DAYS PAST 12 MONTHS—W4,W4,count-0-365,GSWGT4_2,3275,-0.009648008037795702,0.007934219439045246,0.2265417614098639,False,+,False,-0.013695214327411056,-0.010831119684837697,-0.009648008037795702,0.26443200019133356,True
IDGX2,H4TO65B,S28Q65B EVER USED MARIJUANA—W4,W4,binary,GSWGT4_2,3264,0.00514742129786771,0.0034155587587449293,0.13461303490676593,False,+,True,0.004753446212960983,0.00569962923569293,0.00514742129786771,0.1660078197379299,True
IDGX2,H4TO65C,S28Q65C EVER USED COCAINE—W4,W4,binary,GSWGT4_2,3267,0.002019955235101731,0.002082647872326476,0.3341874151608194,False,+,True,0.0004622758388933978,0.0015622066923380727,0.002019955235101731,0.7040879154079581,True
IDGX2,H5TO2,S6Q2 SMOKING DAYS PAST 30 DAYS—W5,W5,count-0-30,GSWGT4_2,2428,-0.0825772620202937,0.0796811013437063,0.30227270343959073,False,+,False,-0.13369951531167903,-0.07098438374433311,-0.0825772620202937,0.8835060369507352,True
IDGX2,H5TO12,S6Q12 ALCOHOL DAYS PAST 12 MONTHS—W5,W5,count-0-365,GSWGT4_2,2440,0.05628371294747118,0.010495875429581992,4.462056621287964e-07,True,+,True,0.06822056075453378,0.06360790089769058,0.05628371294747118,0.07251708972856029,True
IDGX2,H5TO15,S6Q15 BINGE-DRINKING DAYS PAST 12 MONTHS—W5,W5,count-0-365,GSWGT4_2,2435,0.040614787013589115,0.01151243814821495,0.0006085065282506677,True,+,True,0.04653483329353304,0.04610162705499439,0.040614787013589115,0.00939676680004988,True
