outcome,beta_inter,rr_proxy,evalue
H4BMI,0.18746677236370987,1.2061901699068482,1.7048930434428478
H4WAIST,0.3649589993558341,1.4404549473577264,2.2369821019542435
H4BMICLS,0.026844836653784673,1.0272084053040602,1.1943870601115751
H5MN1,-0.015089494332105982,1.0152039155467099,1.139441891200941
H5MN2,0.010572291808852826,1.0106283759576407,1.1142688040402071
