exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
IDGX2 x PARENT_ED,H4BMI,cardiometabolic,IDGX2 x PARENT_ED -> H4BMI,-0.009642204041485703,0.5897096730484773,7.590663362265827,7.488129839207538,chinn-2000,0.991144887579423,1.1038765579156733
IDGX2 x PARENT_ED,H4WAIST,cardiometabolic,IDGX2 x PARENT_ED -> H4WAIST,-0.02360644020588036,0.5673273573982492,7.590663362265827,17.62916016470102,chinn-2000,0.9907931082202234,1.1061366298711126
IDGX2 x PARENT_ED,H4BMICLS,cardiometabolic,IDGX2 x PARENT_ED -> H4BMICLS,-0.0018378030895393417,0.5562126635684541,7.590663362265827,1.2892843767538902,chinn-2000,0.9902020538842701,1.1098589129657233
IDGX2 x PARENT_ED,H5LM5,ses,IDGX2 x PARENT_ED -> H5LM5,0.001688228803249584,0.12173551784162819,7.590663362265827,0.39783067041437103,chinn-2000,1.0297464308105717,1.2047643754806536
IDGX2 x PARENT_ED,H5EC1,ses,IDGX2 x PARENT_ED -> H5EC1,-0.018054392649738772,0.07425204065704717,7.590663362265827,3.261990749766246,chinn-2000,0.962490103375717,1.2401942777511668
