exposure,outcome,outcome_label,outcome_group,adj_tier,n,beta,se,p,ci_lo,ci_hi,sig
FRIEND_DISCLOSURE_ANY,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,L0+L1,3601,-0.06159511255019366,0.049157280530562765,0.2124299744204852,-0.15883993937951213,0.035649714279124806,False
FRIEND_N_NOMINEES,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,L0+L1,3601,-0.013357928867792256,0.009609048679184143,0.16684371673153403,-0.0323669192902951,0.005651061554710592,False
FRIEND_CONTACT_SUM,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,L0+L1,3601,-0.0007117469167271071,0.004497161676870077,0.8744910625275005,-0.009608205463061412,0.008184711629607199,False
FRIEND_DISCLOSURE_ANY,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,L0+L1,3600,-0.007684281532449162,0.025903496002375234,0.7672032699951341,-0.05892757562514792,0.0435590125602496,False
FRIEND_N_NOMINEES,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,L0+L1,3600,0.0006554853334099998,0.0068581802337097705,0.9240024642721034,-0.01291163111390268,0.01422260178072268,False
FRIEND_CONTACT_SUM,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,L0+L1,3600,-0.003776037362756701,0.0027057028792620954,0.1652006776555981,-0.009128563074219581,0.0015764883487061785,False
FRIEND_DISCLOSURE_ANY,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING -- W5,functional,L0+L1,3600,0.10755820950377715,0.06885603578848316,0.12068318576352677,-0.028655454151626514,0.2437718731591808,False
FRIEND_N_NOMINEES,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING -- W5,functional,L0+L1,3600,-0.024388466758003442,0.015261263181127683,0.11243815935806901,-0.05457888574024784,0.005801952224240962,False
FRIEND_CONTACT_SUM,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING -- W5,functional,L0+L1,3600,0.005658607958028734,0.0066175714362465545,0.3940634301596391,-0.007432526893264336,0.018749742809321804,False
FRIEND_DISCLOSURE_ANY,H5LM5,S3Q5 CURRENTLY WORK -- W5,ses,L0+L1,3596,-0.00493862170033345,0.018496852243682752,0.7898905939151558,-0.041529807663236586,0.03165256426256969,False
FRIEND_N_NOMINEES,H5LM5,S3Q5 CURRENTLY WORK -- W5,ses,L0+L1,3596,0.0008433993679181303,0.004992916599739137,0.8661207594574721,-0.009033780672848934,0.010720579408685194,False
FRIEND_CONTACT_SUM,H5LM5,S3Q5 CURRENTLY WORK -- W5,ses,L0+L1,3596,-0.0027863469287068517,0.001938981756225644,0.15309771618431497,-0.006622115365737025,0.0010494215083233223,False
FRIEND_DISCLOSURE_ANY,H5EC1,S4Q1 INCOME PERS EARNINGS [W4-W5] -- W5,ses,L0+L1,3559,0.43582122738381446,0.1700353984837616,0.0115033993352993,0.09945064906984241,0.7721918056977866,True
FRIEND_N_NOMINEES,H5EC1,S4Q1 INCOME PERS EARNINGS [W4-W5] -- W5,ses,L0+L1,3559,-0.0022721684033069622,0.037495058425010434,0.9517708089694674,-0.07644633801035734,0.07190200120374342,False
FRIEND_CONTACT_SUM,H5EC1,S4Q1 INCOME PERS EARNINGS [W4-W5] -- W5,ses,L0+L1,3559,0.02960922740865645,0.014212355172603337,0.03916379963443123,0.001493798672982296,0.0577246561443306,True
