label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.0,0.9,-0.7372566655275786,-2.251623043591114,1.5143663780635355
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.0,1.0,-2.251623043591114,-2.251623043591114,0.0
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.0,1.1,-3.7659894216546523,-2.251623043591114,-1.5143663780635381
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.0,1.2,-5.280355799718186,-2.251623043591114,-3.028732756127072
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.1,0.8,-0.5040833306631479,-2.251623043591114,1.7475397129279662
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.1,0.9,-2.018449708726684,-2.251623043591114,0.23317333486443026
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.1,1.0,-3.5328160867902194,-2.251623043591114,-1.2811930431991052
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.1,1.1,-5.0471824648537575,-2.251623043591114,-2.7955594212626433
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.1,1.2,-6.561548842917292,-2.251623043591114,-4.3099257993261775
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.2,0.8,-1.571744199995733,-2.251623043591114,0.6798788435953813
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.2,0.9,-3.086110578059269,-2.251623043591114,-0.8344875344681548
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.2,1.0,-4.6004769561228045,-2.251623043591114,-2.3488539125316903
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.2,1.1,-6.114843334186342,-2.251623043591114,-3.863220290595228
IDGX2 -> H4BMI,IDGX2,H4BMI,top-quintile-vs-bottom,1.2,1.2,-7.629209712249875,-2.251623043591114,-5.377586668658761
