stratification,friend_indicator,sex,sex_code,friend_present,friend_code,outcome,outcome_label,outcome_group,n_cell,adj_mean,adj_se,weight_col_used
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,987,118.88469882092798,4.138372056412931,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,987,74.64412540780394,3.282094918307702,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,1005,110.05767894382089,5.7747142305695975,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,999,3.9819396139388523,0.4369443748704875,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,758,2.0947701540909938,0.30583438504038535,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,756,4.247188323415312,0.2703223261717688,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,777,2.3453822624051086,0.3035192716200817,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,777,1.0966992667512234,0.17111637836867571,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,777,1.7535624914882175,0.49422231412603124,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,775,1.1522380750003436,0.05970062668205906,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,764,6.980516692626042,0.45060125607904644,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,W4_COG_COMP,W4 cognition composite,cognitive,903,-1.2467972865045633,0.2292558754718142,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H4BMI,S27 BMI—W4,cardiometabolic,892,29.280397192902026,2.46736485361184,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,891,110.1968387128338,3.8930676879146153,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,891,68.6051002118371,3.227916182653233,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,895,102.29279202836489,5.533152399564466,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,892,3.315230019066215,0.4422552386139854,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,726,2.0979064311291205,0.41337387492281136,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,725,3.8570802239140116,0.34608381191012116,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,737,2.565181768915335,0.3404073776212984,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,737,1.4759865247514492,0.19217305464766302,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,738,1.898139395137078,0.5127679299906261,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,736,1.1527209062370574,0.06134441503784921,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,yes,1,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,732,7.140401880074638,0.5124402924505324,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,W4_COG_COMP,W4 cognition composite,cognitive,796,-1.6964126443323582,0.28542305519249783,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H4BMI,S27 BMI—W4,cardiometabolic,791,26.83600237297981,1.9923702423899228,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,781,120.80153643008356,4.310221237195896,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,781,74.60636945524827,2.66591858222865,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,794,97.84474939059902,5.32173614549214,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,791,2.8989607268887214,0.3698169591969292,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,523,2.1641064521445026,0.4503549509532984,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,520,3.7320394674702233,0.4305012429501475,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,536,2.2154448467752017,0.4228468108142703,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,536,1.3749356745146062,0.23613762209394804,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,534,0.770490411385467,0.45297733744363966,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,534,1.0855179156434385,0.05522551249367868,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,no,0,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,529,9.024320094580657,0.5027435970638517,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,W4_COG_COMP,W4 cognition composite,cognitive,791,-1.5173433872651025,0.21950007073082764,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H4BMI,S27 BMI—W4,cardiometabolic,781,22.998150577156903,2.77543342607593,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,766,135.98074020814468,4.136839047750418,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,766,81.78723630779848,3.6689587274052067,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,786,86.22369159274852,6.132106923245656,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,781,2.305060094555733,0.47169647731468006,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,539,1.4062641884819518,0.4311562443470868,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,538,4.538471928460918,0.37965765473422164,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,551,2.7143442670707354,0.4030781841901956,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,551,1.2401691163757056,0.22982279906027622,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,551,0.9738063716437165,0.6117036315404498,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,551,0.9901560039218466,0.0542074925925855,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,male,1,yes,1,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,548,9.378536106806633,0.44820946460646494,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,W4_COG_COMP,W4 cognition composite,cognitive,549,-0.8445781935996534,0.2976346350397964,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H4BMI,S27 BMI—W4,cardiometabolic,548,37.35450633608069,3.255444744362069,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,541,123.33393217183615,6.254004179367221,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,541,77.86660413935503,5.697229904980003,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,549,120.21794285007837,7.176902283766552,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,548,4.518941027059135,0.5745193379813287,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,416,1.2218221101752733,0.46679907224472295,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,414,5.301865890514032,0.3650280248931342,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,423,1.7530957597135584,0.3324749833117749,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,423,0.9765241327283385,0.25258123367870683,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,423,1.079501271254582,0.5786008699858695,GSWGT4_2
BIO_SEX × HAVEBFF,HAVEBFF,female,2,no,0,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,422,1.0662524416640586,0.06840580634826708,GSWGT4_2
