,IDGX2,ODGX2,BCENT10X,REACH,PRXPREST
IDGX2,1.0,0.38798046843257583,0.3980416198162196,0.04179830029437532,0.5427988756466436
ODGX2,0.38798046843257583,1.0,0.8885982941980185,0.2679004229053706,0.3370867115085483
BCENT10X,0.3980416198162196,0.8885982941980185,1.0,0.2508230632858932,0.21925613440603264
REACH,0.04179830029437532,0.2679004229053706,0.2508230632858932,1.0,-0.21592640637679295
PRXPREST,0.5427988756466436,0.3370867115085483,0.21925613440603264,-0.21592640637679295,1.0
