outcome,outcome_label,outcome_group,n,beta_idgx2,se_idgx2,beta_inter,se_inter,p_inter,ci_lo_inter,ci_hi_inter
H4BMI,S27 BMI -- W4,cardiometabolic,3234,-0.3011927525617992,0.05108731017024052,0.18746677236370987,0.06400745102390615,0.00412305284169977,0.060644212962866734,0.314289331764553
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,3250,-0.7084667983939202,0.1269651654748427,0.3649589993558341,0.16695031649291195,0.03089417626013888,0.034168347772099594,0.6957496509395686
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,3234,-0.0467908220241182,0.008672289819539715,0.026844836653784673,0.011332673572562839,0.019558374301223442,0.0043905966499150975,0.04929907665765425
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,2387,-0.010275263960074624,0.013530552747344644,-0.015089494332105982,0.017896224467976053,0.4009325304566503,-0.05054856908565344,0.02036958042144147
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,2380,0.009846045973095487,0.008898710001752092,0.010572291808852826,0.014215916098690388,0.4586189238089356,-0.017594723671738633,0.03873930728944429
